epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6821,2.29274,4.51669,1.42483,0.00068,0.13636,0.00653,0.00136,2.20002,4.14095,1.55303,0.001,0.001,0.091
2,34.0021,1.87835,2.65909,1.47997,0,0,0,0,nan,nan,nan,0.00209949,0.00209949,0.0810995
3,38.4871,1.68069,1.91,1.38034,0,0,0,0,nan,nan,nan,0.00319687,0.00319687,0.0711969
4,43.4731,1.58623,1.6313,1.34414,0,0,0,0,nan,nan,nan,0.00429055,0.00429055,0.0612906
5,48.1514,1.56071,1.60952,1.35921,0,0,0,0,nan,nan,nan,0.00537892,0.00537892,0.0513789
6,52.3121,1.61483,1.65098,1.38724,0,0,0,0,nan,nan,nan,0.00646039,0.00646039,0.0414604
7,58.3085,1.56086,1.51317,1.33276,6e-05,0.01515,3e-05,2e-05,nan,nan,nan,0.00753336,0.00753336,0.0315334
8,62.3935,1.63358,1.52153,1.36058,0,0,0,0,nan,nan,nan,0.00859629,0.00859629,0.0215963
9,67.5441,1.45173,1.36447,1.35201,0,0,0,0,nan,nan,nan,0.0096476,0.0096476,0.0116476
10,72.3748,1.45156,1.30082,1.3065,0,0,0,0,nan,nan,nan,0.00980345,0.00980345,0.00980345
11,76.7865,1.57117,1.35666,1.35537,0,0,0,0,nan,nan,nan,0.00975773,0.00975773,0.00975773
12,81.8648,1.46522,1.34927,1.34585,0,0,0,0,nan,nan,nan,0.00970736,0.00970736,0.00970736
13,86.3513,1.39647,1.2506,1.29004,0,0,0,0,nan,nan,nan,0.00965239,0.00965239,0.00965239
14,90.9091,1.40457,1.31464,1.28704,0.09831,0.37121,0.15575,0.06811,nan,nan,nan,0.00959289,0.00959289,0.00959289
15,96.2423,1.28073,1.19407,1.20914,0.63563,0.15,0.12066,0.05117,nan,nan,nan,0.00952889,0.00952889,0.00952889
16,100.658,1.33859,1.15997,1.28929,0.64609,0.225,0.11828,0.06072,nan,nan,nan,0.00946048,0.00946048,0.00946048
17,105.819,1.4561,1.1847,1.25871,0.20116,0.13507,0.09542,0.05342,2.08499,7.06536,2.40662,0.00938772,0.00938772,0.00938772
18,110.527,1.36868,1.15285,1.24643,0,0,0,0,2.36986,17.9658,2.59551,0.00931067,0.00931067,0.00931067
19,114.969,1.33121,1.13514,1.242,0.00046,0.03788,0.00025,8e-05,2.59633,11.5795,2.46905,0.00922942,0.00922942,0.00922942
20,120.163,1.29343,1.11331,1.23239,0,0,0,0,3.05374,21.2166,3.80863,0.00914405,0.00914405,0.00914405
21,124.733,1.30529,1.11523,1.22033,0.33036,0.1,0.10848,0.06574,2.06858,8.05745,2.41109,0.00905463,0.00905463,0.00905463
22,129.233,1.29809,1.08569,1.2151,0.51055,0.18788,0.22385,0.10753,2.01933,4.83276,1.4557,0.00896127,0.00896127,0.00896127
23,134.56,1.36103,1.08645,1.19769,0.56177,0.01515,0.01429,0.00479,2.13397,6.24314,1.9855,0.00886404,0.00886404,0.00886404
24,138.963,1.31533,1.02094,1.21855,0.83557,0.3,0.35015,0.19049,1.71952,3.13759,1.72887,0.00876305,0.00876305,0.00876305
25,144.262,1.19802,1.02522,1.16373,0.29701,0.275,0.29855,0.17513,1.83998,8.32101,1.82955,0.00865839,0.00865839,0.00865839
26,148.903,1.27541,0.9959,1.18118,0.472,0.56776,0.5442,0.36534,1.25068,3.27872,1.12022,0.00855018,0.00855018,0.00855018
27,153.421,1.18266,0.9353,1.13269,0.93227,0.20008,0.36321,0.24971,1.20292,2.60642,1.05206,0.00843851,0.00843851,0.00843851
28,158.422,1.26194,0.94487,1.1832,0.86726,0.125,0.14788,0.08855,1.78284,5.97479,2.10798,0.00832349,0.00832349,0.00832349
29,163.094,1.20081,0.96845,1.154,0.39858,0.14015,0.14009,0.09585,1.74126,5.90746,2.15697,0.00820525,0.00820525,0.00820525
30,167.55,1.21586,0.94456,1.15598,0.70526,0.32985,0.40514,0.26919,1.38637,3.0045,1.3306,0.00808389,0.00808389,0.00808389
31,172.664,1.19048,0.91785,1.19537,0.61054,0.543,0.49966,0.31618,1.46006,2.34847,1.2909,0.00795954,0.00795954,0.00795954
32,177.276,1.15525,0.86354,1.15284,0.54797,0.64478,0.61645,0.39161,1.33973,2.80814,1.23908,0.00783231,0.00783231,0.00783231
33,182.275,1.16973,0.934,1.13268,0.51365,0.54113,0.43363,0.25556,1.47291,2.2935,1.22907,0.00770234,0.00770234,0.00770234
34,187.191,1.10302,0.88549,1.1137,0.5684,0.62576,0.57438,0.36236,1.34895,1.62593,1.19466,0.00756976,0.00756976,0.00756976
35,191.536,1.20072,0.9128,1.16748,0.50028,0.4606,0.46937,0.30877,1.48395,2.65623,1.25614,0.00743468,0.00743468,0.00743468
36,196.757,1.18356,0.97726,1.13968,0.64316,0.76201,0.80228,0.55887,1.16948,1.15631,1.08701,0.00729725,0.00729725,0.00729725
37,201.302,1.15914,0.98876,1.14137,0.40746,0.86492,0.64873,0.42955,1.15359,3.47593,1.05918,0.00715761,0.00715761,0.00715761
38,205.911,1.18266,0.93165,1.13668,0.62755,0.70595,0.73447,0.4915,1.21544,2.31949,1.09038,0.00701588,0.00701588,0.00701588
39,211.131,1.12568,0.90056,1.1013,0.64123,0.54889,0.65469,0.40928,1.24656,2.55068,1.06458,0.00687222,0.00687222,0.00687222
40,215.57,1.17,0.91724,1.14552,0.52079,0.87123,0.80329,0.53414,1.14314,1.32225,1.00783,0.00672675,0.00672675,0.00672675
41,221.09,1.07433,0.87204,1.09943,0.6969,0.7629,0.78771,0.55457,1.06723,1.28612,0.98965,0.00657963,0.00657963,0.00657963
42,225.842,1.08521,0.83893,1.09714,0.71961,0.62045,0.71696,0.51368,1.07455,1.39387,1.00206,0.00643101,0.00643101,0.00643101
43,230.306,1.13203,0.87403,1.10747,0.53071,0.79697,0.69572,0.4997,1.01667,1.39232,0.98224,0.00628101,0.00628101,0.00628101
