epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9736,1.31789,3.90797,0.91534,0.00254,0.77101,0.03456,0.01117,1.01245,3.76283,0.83597,0.00026672,0.00026672,0.00026672
2,31.6002,1.01514,1.98289,0.86862,0.00061,0.1795,0.00123,0.00092,0.89919,3.84823,0.87907,0.000495649,0.000495649,0.000495649
3,34.7049,0.92785,1.89474,0.8653,0.00285,0.92498,0.02596,0.02003,0.92123,3.3726,0.8247,0.000668467,0.000668467,0.000668467
4,38.3099,0.9596,1.56267,0.87792,0.00305,1,0.0728,0.05369,1.02341,3.03391,0.86243,0.000785174,0.000785174,0.000785174
5,42.3314,1.02434,1.63498,0.87999,1,0.16604,0.63485,0.48462,0.88717,2.63646,0.83233,0.000845769,0.000845769,0.000845769
6,45.4095,0.78576,1.29927,0.84707,1,0.21079,0.7311,0.57041,0.82384,2.22575,0.83103,0.000841835,0.000841835,0.000841835
7,48.4065,0.80952,1.40708,0.84178,0.78698,0.34172,0.70633,0.5636,0.77064,2.18808,0.82934,0.000676802,0.000676802,0.000676802
8,51.9923,0.759,1.30097,0.82963,0.75051,0.6716,0.80221,0.65003,0.73124,1.55031,0.81779,0.000511769,0.000511769,0.000511769
9,55.5282,0.72534,1.17845,0.83113,0.72127,0.88767,0.84284,0.70418,0.66604,1.07198,0.80807,0.000346736,0.000346736,0.000346736
10,58.5398,0.67789,1.11262,0.8429,0.74201,0.89523,0.88246,0.7476,0.59485,0.85199,0.8044,0.000181703,0.000181703,0.000181703
